term_str,T00,T01,T02,T03,T04,T05,T06,T07,T08,T09,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19
apology,0.05,0.05000000003217563,0.05,0.05,0.05,0.05,0.05,0.05000000157853369,0.05000000078720485,0.05000000118370081,0.050000000217475395,0.05,0.05,0.05,4.465548716833057,0.05,1.2340875326935934,0.05,0.05,1.4503637466456947
apparition,0.050000000262036555,0.050009697756796395,0.05,0.05,0.05,0.05,0.05,5.086599560715433,0.05,0.05,0.05000000053432424,0.05,0.050000000330474324,0.05,2.8509967376305787,0.05000000024537761,1.050000000026874,0.05,0.05,1.2123940024670041
appeal,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.681525004844235,0.05,2.9998527661209042,0.05000000015862167,0.05,0.05,0.05,4.4686222287112995,0.05,0.05000000014364921,0.05,0.05,0.05
appearance,1.0315285393500426,3.7931213696555615,0.05,0.05,0.40792655398658156,2.9010233060732573,0.05,14.21906859958754,0.05000000007370014,0.050000000546789,5.109353806980201,0.05,7.551420541339734,3.1063229114573394,7.479216316221462,2.105829150004024,0.09629446838923829,0.05000000000920396,0.05000000000484019,17.798894436284133
applause,0.05000000002246405,6.425412744956191,0.05,0.05,0.05,0.8316126615312001,0.05,6.093679230844869,2.682046590257619,2.7066079269298178,0.05000000034330218,0.05,1.3277785302825047,6.499863332178501,18.051769422271793,0.050000000465689996,7.351003715692961,2.050000000084946,0.05,0.5302258441043837
apple,0.05000000018687949,0.050000001484492594,1.0437936245151773,0.05,0.05,0.05000000326711379,0.05,1.6392048617519217,0.05,0.050000004142169846,0.9052193193502758,0.05,1.2819379254236751,0.050000000070865365,4.542972633826145,0.05000000038343539,0.05000000380129114,0.05000000017215842,0.05,4.886871621579806
appointment,0.05,0.050000000975238365,0.05,0.05,0.05,0.05,0.05,9.728310653125089,0.05,0.05000000059762027,0.20795307854885048,0.05,0.11220089091665167,0.05,6.151535375762479,0.05,0.05,0.05,0.05,0.050000000042339704
apprehension,0.05,0.050000000123031026,0.05,0.05,0.05,0.050000000596310615,0.05,0.05000000012285674,0.05000000048047325,0.05,0.05000000596630095,0.05,4.370426668204783,0.05,3.729573323225523,0.050000000506850786,0.05,0.0500000000213795,0.05,0.0500000007318522
approach,0.050000000157525544,1.0510021693018956,0.05,0.05,0.05,0.05,0.05,0.05000000057629135,0.05,0.05000000042976987,0.05000000004372818,0.05,1.153072626927193,0.05,5.05494073322366,0.050000000173037816,0.050000000322254,0.05,0.05,3.940984468817556
approval,0.0500000000090983,1.045266239973577,0.05000000045530243,0.05,0.05,0.05,0.05,0.935781423250346,0.05,0.2504255142310251,3.049999997279845,0.05,2.898951196541116,2.043146539027322,4.526301022984634,0.050000002751686576,0.05,0.050000000296064294,0.05,0.6501280631603099
apron,0.05,0.05,0.05,0.05,0.05,0.05,0.05,3.0217383942202733,0.05,0.05000000185246401,0.05,0.05,0.050000000437318136,0.05,4.4670992834003895,0.05,0.05,0.05,0.05,2.661162320061646
archway,0.05000000109172759,1.6684929052447,0.05,0.05,0.05,10.327425223814748,0.05,5.418346856775295,0.050001569212504725,0.05,0.05000000000379604,0.05,3.6669067227922074,0.05,0.05000000104165437,0.05000000031370463,0.05,4.365438211726245,0.050000002132414276,2.8533885058265813
area,0.050000000175314675,1.5293300271523818,0.05,0.05,0.05,0.050000000280801385,0.05,6.562994506532746,0.05,0.05000000013294919,1.0790573116108098,0.05,2.277957652469604,2.269325098984747,1.8128128227120677,0.9979248209249986,3.3447104332905786,0.050000000126070795,0.9991777076668665,5.626709617904636
aren,2.0603368850032546,3.3585586780019785,0.05000000014035645,0.05,2.7705571007978556,0.05,0.05,1.5786168088774564,0.05000000004940386,0.05000000068281667,3.056356184066363,0.05,0.05000000050248188,1.0562736971474032,16.30758763203225,0.050000000884843236,0.6583085225258329,0.05000034829366907,0.05000000001464006,2.603404140944478
argument,0.050000048230289425,1.4453029648400857,2.3906364665039153,0.05,0.05,0.05,0.05,12.46130922347646,0.05,0.050000001127508256,2.847217725241067,0.05,0.054869234403431576,0.0500000000738007,15.615576774730352,0.05,0.0500000001572621,0.05,0.05,1.5350875611822519
arguments,0.05000000264807716,0.05,0.050000000867850766,0.05,0.05,0.05,0.05,4.049999996015621,0.05,0.05000000017242014,0.05,0.05,0.05,1.0499999998550384,1.049999999952845,0.05,0.05,0.07228116263012294,1.0277188373675816,0.050000000461762506
arm,1.6567821765718405,28.16161413623668,3.712177433811457,3.004304534982389,5.280958531559039,15.558933297559886,0.05,48.64015754061247,4.958301742876424,22.14306764305062,22.8392777099801,0.05,27.329220688641907,6.06601579125095,59.782036508910615,1.0505668210933692,9.08773657721674,15.661142418715228,1.4445210688418049,77.52318537805226
arm arm,0.05000000094083703,0.05,0.0500000002869328,0.05,0.05,0.0500000001307635,0.05,1.928992996955081,0.050000000207262585,0.05000000209772544,0.05,0.05,3.1445809231038844,0.05,3.1369875746426374,0.05,0.05000000167595995,0.050000000323889286,0.05,1.9894384996011292
arm shoulders,0.05000000013395415,0.05,0.05,0.05,0.050000000779140255,0.05,0.05,5.093802375487507,0.05,0.05000000086289893,0.05012321161675052,0.05,2.8478254781565107,0.05,0.05000000080791921,0.05,0.05000000180326062,2.0056874304849464,0.05,0.2525614998381837
armchair,2.050000000121234,3.1969121945345793,1.1643773018533854,0.05,0.05,0.9843951494936706,0.05,18.539762897214832,0.05,0.0500000001478916,10.2309216712188,0.05,7.810335107676896,1.0542324164204837,12.446674935090691,0.05000000013106338,0.1374417465932119,1.4164552238303705,1.0500000000551224,6.5684913555797735
armchairs,0.05,5.3967536934805445,0.05,0.05,0.05000000031359967,0.05,0.05,5.3481558247540235,0.05,0.05000000003528205,0.05650153753946166,0.05,0.05000000305148184,1.94299632112326,3.5055926193003444,0.05,0.05000000025799701,0.05,0.05,0.05000000011345568
